Código,Familia,Materia,Sexo,Chilena,Venezolana,Colombiana,Boliviana,Peruana,Haitiana,Ecuatoriana,Argentina,Dominicana,Otras nacionalidades,Sin información
838,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio con resultado de muerte y/o lesiones,Hombres,6,0,0,0,0,0,0,0,0,1,0
839,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Otros estragos,Hombres,0,0,0,0,0,0,0,0,0,0,0
840,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Daños simples,Hombres,3768,118,60,21,34,27,9,8,4,35,13
841,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Daños calificados,Hombres,186,7,3,0,3,2,1,1,1,1,0
846,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor sobre 40 UTM,Hombres,270,10,9,2,4,0,0,2,0,0,0
847,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor de 4 a 40 UTM,Hombres,2810,61,46,20,40,11,9,3,1,7,4
848,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor de media a menos de 4 UTM,Hombres,4024,80,40,23,31,10,13,5,1,11,10
849,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Apropiación de cables de tendido eléctrico o de comunicaciones,Hombres,28,0,0,0,0,0,0,0,0,0,0
851,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio de bosques,Hombres,13,0,0,0,0,0,0,0,0,0,0
853,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto de bienes pertenecientes a redes de suministro público,Hombres,48,3,6,0,1,3,1,0,0,0,0
854,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio con peligro para las personas,Hombres,56,1,0,2,0,0,0,0,0,0,0
855,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio solo con daños o sin peligro de propagación,Hombres,167,1,2,4,0,1,0,0,0,1,0
856,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Apropiación indebida,Hombres,315,34,8,3,4,3,0,0,1,1,1
