Código,Familia,Materia,Sexo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
810,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo en lugar no habitado,Hombres,455,397,441,433,408,382,430,436,440,394,414,368
811,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Abigeato,Hombres,4,5,15,13,12,8,11,20,12,16,19,21
812,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Receptación,Hombres,334,319,348,338,364,336,378,395,278,381,356,225
814,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Destrucción o alteración de deslindes,Hombres,0,0,0,0,0,0,0,0,0,0,0,0
816,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Estafas y otras defraudaciones contra particulares,Hombres,41,32,54,21,52,42,35,50,37,43,43,47
817,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usura,Hombres,4,2,0,4,5,7,8,1,4,3,4,3
821,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto de hallazgo,Hombres,13,10,12,7,7,15,19,15,18,11,4,13
825,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Infracción artículo 454,Hombres,27,25,48,35,53,38,35,36,34,27,27,14
826,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto agravado,Hombres,36,30,22,30,28,44,29,40,32,26,27,44
827,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con homicidio,Hombres,2,0,2,0,0,0,0,0,1,0,0,0
828,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo con violación,Hombres,0,2,1,0,0,0,1,0,5,1,0,1
829,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,"Robo con castración, mutilación o lesiones graves gravísimas",Hombres,1,0,0,0,0,0,0,0,0,0,0,0
831,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Robo de vehículo motorizado,Hombres,43,22,47,39,30,34,33,39,27,41,24,46
832,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Portar elementos conocidamente destinados a cometer delito de robo,Hombres,173,160,219,220,205,194,174,219,157,167,214,162
833,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación u ocupación violenta de inmueble,Hombres,0,1,1,4,2,0,3,1,0,2,12,6
834,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación u ocupación de inmueble no violenta sin daños a las cosas,Hombres,4,6,10,8,5,7,4,3,5,7,12,32
836,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Usurpación de aguas,Hombres,1,3,0,0,1,1,0,0,0,1,0,2
838,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio con resultado de muerte y/o lesiones,Hombres,0,0,1,1,2,0,2,0,1,0,0,0
839,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Otros estragos,Hombres,0,0,0,0,0,0,0,0,0,0,0,0
840,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Daños simples,Hombres,367,326,308,350,337,325,311,357,401,335,319,361
841,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Daños calificados,Hombres,13,12,19,14,12,15,19,18,21,24,22,16
846,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor sobre 40 UTM,Hombres,29,30,30,22,29,26,17,25,17,26,26,20
847,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor de 4 a 40 UTM,Hombres,255,232,287,228,270,273,225,272,218,207,258,287
848,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto simple por un valor de media a menos de 4 UTM,Hombres,283,294,412,341,350,338,400,396,291,379,362,402
849,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Apropiación de cables de tendido eléctrico o de comunicaciones,Hombres,4,3,5,4,3,2,0,0,4,1,2,0
851,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Incendio de bosques,Hombres,3,3,0,1,0,0,0,0,0,0,2,4
853,CRÍMENES Y SIMPLES DELITOS CONTRA LA PROPIEDAD,Hurto de bienes pertenecientes a redes de suministro público,Hombres,6,3,4,6,8,8,11,5,1,3,2,5
